24895025.00,-112.97,-110.47,-112.47,-105.47,-113.47,-104.97,-105.47,-103.97,-110.47,-109.97,-111.47,-109.97,-106.47,-101.97,-100.97,-105.97,-103.97,-112.97,-110.47,-109.97,-110.47,-105.47,-106.97,-109.97,-103.47,-101.97,-107.47,-117.47,-105.97,-115.97,-115.97,-112.97,-106.47,-107.47,-111.47,-106.47,-101.47,-105.97,-105.97,-108.97,-113.47,-109.47,-107.47,-107.47,-106.47,-103.97,-105.47,-108.97,-113.97,-110.97
24895527.00,-106.97,-109.47,-103.97,-101.97,-110.47,-106.97,-105.97,-104.97,-100.47,-105.47,-112.47,-112.97,-110.97,-103.47,-113.47,-109.47,-114.97,-113.97,-111.47,-104.97,-108.97,-114.97,-103.47,-108.97,-105.47,-105.47,-107.97,-108.47,-107.97,-112.97,-112.97,-100.47,-110.47,-104.97,-105.97,-108.97,-102.97,-100.47,-98.47,-106.47,-108.47,-116.47,-101.47,-105.47,-102.97,-107.47,-107.97,-107.47,-115.97,-108.47
24896030.00,-107.47,-102.97,-104.97,-113.47,-106.97,-111.47,-114.47,-107.47,-105.47,-106.47,-112.97,-115.97,-111.97,-106.97,-99.97,-102.97,-109.97,-114.47,-106.47,-111.47,-109.47,-103.97,-113.97,-102.47,-110.97,-99.97,-108.47,-111.47,-109.47,-107.47,-107.47,-103.97,-106.97,-109.47,-109.97,-103.47,-109.47,-114.47,-105.97,-105.47,-105.47,-108.97,-104.97,-114.97,-108.47,-103.97,-115.47,-108.47,-106.47,-99.47
24896532.00,-102.97,-104.97,-111.97,-102.47,-102.97,-110.47,-109.47,-113.47,-106.97,-106.97,-114.47,-109.47,-100.97,-106.97,-96.47,-109.47,-105.97,-112.97,-106.97,-112.47,-113.47,-104.47,-105.47,-103.47,-98.47,-97.97,-102.97,-111.47,-113.97,-106.97,-106.97,-104.47,-116.47,-110.97,-103.47,-115.47,-102.97,-110.97,-104.47,-101.97,-109.97,-115.97,-106.47,-112.97,-104.97,-113.97,-103.47,-109.97,-108.47,-102.47
24897035.00,-108.47,-105.47,-104.97,-96.47,-106.97,-107.97,-101.47,-105.97,-101.47,-109.47,-108.47,-103.47,-106.97,-109.47,-94.47,-105.97,-107.97,-103.97,-109.97,-101.47,-112.47,-112.97,-103.97,-108.97,-110.97,-100.97,-117.97,-106.47,-113.47,-114.47,-114.47,-114.97,-102.47,-113.47,-106.97,-101.47,-108.47,-110.47,-107.97,-102.97,-112.97,-108.47,-108.97,-112.47,-112.47,-103.97,-111.97,-115.97,-117.47,-112.97
24897537.00,-101.47,-109.47,-107.97,-106.47,-99.47,-108.47,-104.97,-107.97,-106.47,-106.97,-107.47,-103.97,-102.47,-104.47,-102.47,-106.97,-113.97,-108.47,-100.47,-110.97,-106.97,-114.97,-105.47,-117.47,-100.97,-105.97,-111.97,-113.97,-101.97,-101.47,-101.47,-104.47,-103.47,-115.47,-106.97,-114.97,-110.97,-105.97,-103.47,-100.47,-106.97,-111.47,-116.97,-100.97,-108.47,-114.47,-106.97,-106.97,-108.47,-111.97
24898040.00,-108.97,-106.47,-106.47,-93.47,-107.97,-109.47,-106.47,-115.97,-106.97,-103.97,-109.47,-108.47,-108.97,-108.97,-114.47,-106.47,-103.97,-117.47,-109.97,-109.47,-107.97,-110.47,-107.47,-112.97,-106.97,-111.47,-105.97,-104.97,-102.47,-105.97,-105.97,-103.47,-106.97,-113.47,-108.47,-106.47,-98.97,-104.97,-106.47,-100.97,-105.47,-115.97,-105.47,-107.47,-104.97,-110.97,-110.47,-110.47,-110.47,-114.47
24898542.00,-105.97,-109.97,-116.97,-104.97,-102.47,-104.97,-101.97,-102.97,-111.97,-106.47,-99.47,-107.97,-100.97,-104.47,-107.97,-104.47,-112.47,-106.47,-108.97,-99.97,-109.97,-104.97,-111.97,-111.47,-104.47,-110.47,-112.47,-106.97,-102.97,-119.47,-119.47,-110.97,-101.47,-114.47,-111.47,-111.97,-109.97,-103.97,-101.47,-109.97,-101.47,-106.97,-103.97,-102.97,-107.47,-101.97,-113.97,-109.97,-105.47,-102.47
24899045.00,-113.47,-109.97,-111.47,-106.97,-115.47,-104.97,-114.47,-104.47,-108.97,-109.47,-112.97,-113.97,-104.97,-111.97,-108.47,-111.97,-112.97,-109.47,-114.47,-107.97,-102.47,-114.47,-101.47,-109.97,-95.47,-113.47,-101.97,-109.47,-98.97,-106.97,-106.97,-107.97,-106.47,-115.97,-107.97,-109.47,-107.97,-108.47,-106.97,-106.47,-111.97,-108.47,-102.97,-108.47,-111.47,-113.97,-104.47,-116.97,-107.97,-108.97
24899547.00,-112.97,-108.97,-106.47,-112.47,-106.97,-102.97,-98.47,-105.47,-102.47,-107.47,-106.47,-107.97,-112.47,-110.97,-108.47,-107.97,-107.47,-103.47,-110.47,-104.47,-113.97,-107.97,-104.97,-117.97,-105.47,-102.97,-114.47,-108.47,-113.47,-106.97,-106.97,-100.97,-113.47,-108.97,-108.97,-113.47,-110.47,-102.47,-109.47,-107.97,-112.47,-104.97,-106.97,-108.97,-107.47,-104.47,-112.47,-106.47,-106.97,-105.47
24900050.00,-110.97,-108.97,-105.47,-108.47,-112.97,-105.47,-101.97,-108.97,-105.97,-108.47,-102.97,-103.97,-105.97,-112.97,-110.97,-109.47,-109.47,-107.97,-113.47,-105.47,-117.47,-111.97,-106.97,-103.97,-106.47,-109.47,-106.47,-110.47,-109.97,-111.47,-111.47,-115.97,-104.47,-112.47,-115.47,-106.97,-104.47,-108.97,-106.97,-106.47,-107.97,-109.97,-108.97,-107.47,-112.47,-112.97,-115.47,-111.47,-105.97,-116.47
24900552.00,-104.47,-101.47,-107.97,-107.97,-104.47,-107.47,-93.97,-115.97,-101.97,-109.47,-116.47,-113.97,-106.97,-108.47,-104.47,-107.97,-107.47,-107.47,-106.97,-107.47,-100.97,-112.97,-103.47,-106.47,-106.47,-118.47,-112.47,-108.47,-104.97,-105.97,-105.97,-105.47,-102.47,-113.97,-104.97,-105.47,-110.97,-107.97,-99.97,-103.97,-113.97,-113.97,-107.47,-107.47,-110.47,-106.47,-107.97,-114.47,-111.47,-107.97
