2400617696.00,-111.53,-112.06,-116.50,-115.03,-107.03
2400717863.00,-116.50,-115.06,-112.00,-114.53,-107.03
2400818030.00,-110.00,-114.56,-118.50,-112.03,-108.50
2400918196.00,-108.00,-111.53,-109.03,-114.00,-110.53
2401018363.00,-107.53,-113.03,-114.53,-113.03,-113.50
2401118530.00,-109.50,-116.06,-110.03,-113.50,-114.00
2401218697.00,-111.00,-115.03,-112.00,-112.53,-111.00
2401318864.00,-114.50,-113.03,-110.03,-112.00,-115.00
2401419031.00,-115.00,-115.56,-117.00,-106.03,-116.53
2401519198.00,-112.53,-114.53,-111.03,-111.50,-116.03
2401619365.00,-112.50,-120.03,-113.50,-114.53,-111.03
2401719532.00,-114.00,-110.06,-111.53,-112.50,-108.53
2401819699.00,-112.03,-111.03,-113.50,-114.50,-113.03
2401919866.00,-113.53,-111.06,-111.53,-108.53,-118.00
2402020033.00,-114.53,-113.53,-112.03,-114.00,-114.53
2402120200.00,-112.03,-110.06,-114.50,-109.00,-112.03
2402220367.00,-111.53,-109.56,-117.03,-114.50,-115.50
2402320534.00,-111.03,-115.53,-112.03,-114.03,-110.00
2402420701.00,-115.50,-121.56,-113.03,-103.53,-114.53
2402520868.00,-116.50,-109.56,-115.53,-114.50,-111.53
2402621035.00,-110.00,-108.56,-112.53,-110.03,-115.50
2402721202.00,-113.53,-117.03,-111.53,-114.53,-110.03
2402821368.00,-114.50,-113.03,-109.50,-118.00,-115.50
2402921535.00,-108.00,-110.53,-111.00,-114.00,-112.00
2403021702.00,-114.03,-112.53,-113.03,-115.53,-112.50
2403121869.00,-110.53,-111.03,-110.00,-111.50,-111.03
2403222036.00,-111.53,-111.56,-108.03,-112.00,-114.00
2403322203.00,-116.50,-113.03,-110.50,-110.00,-114.50
2403422370.00,-110.50,-113.03,-112.00,-112.50,-117.00
2403522537.00,-112.03,-108.03,-117.00,-111.50,-115.03
2403622704.00,-113.50,-111.56,-109.53,-113.00,-112.00
2403722871.00,-114.50,-117.03,-108.00,-113.53,-116.03
2403823038.00,-110.00,-112.53,-115.00,-110.03,-115.03
2403923205.00,-113.53,-112.56,-111.53,-112.03,-114.03
2404023372.00,-109.53,-112.03,-116.50,-109.03,-119.50
2404123539.00,-109.03,-121.03,-112.03,-112.03,-113.00
2404223706.00,-109.00,-109.56,-111.53,-116.00,-114.03
2404323873.00,-115.03,-113.53,-111.00,-115.00,-116.50
2404424040.00,-111.03,-111.03,-112.50,-110.53,-115.03
2404524207.00,-113.03,-112.03,-112.03,-112.03,-119.53
2404624373.00,-112.50,-115.53,-110.00,-112.03,-113.50
2404724540.00,-113.00,-113.56,-111.03,-115.00,-116.53
2404824707.00,-110.00,-115.53,-109.00,-110.53,-110.53
2404924874.00,-106.03,-112.03,-109.03,-119.50,-113.03
2405025041.00,-108.00,-110.53,-114.53,-115.53,-113.50
2405125208.00,-111.50,-111.53,-114.50,-118.00,-113.00
2405225375.00,-112.00,-112.03,-106.00,-110.50,-112.03
2405325542.00,-113.00,-112.56,-110.00,-105.00,-113.00
2405425709.00,-112.50,-115.03,-111.00,-115.00,-112.00
2405525876.00,-106.53,-113.06,-113.50,-117.53,-111.53
2405626043.00,-105.50,-111.53,-113.03,-112.00,-115.03
2405726210.00,-110.00,-118.06,-114.53,-114.03,-115.53
2405826377.00,-115.03,-111.53,-117.03,-113.53,-109.50
2405926544.00,-112.53,-114.56,-116.03,-111.50,-114.03
2406026711.00,-113.00,-112.06,-114.03,-111.03,-113.00
2406126878.00,-107.03,-115.56,-114.50,-113.50,-114.53
2406227045.00,-113.50,-110.06,-115.00,-116.00,-111.00
2406327212.00,-112.03,-115.53,-114.50,-111.53,-111.00
2406427378.00,-117.53,-118.03,-110.53,-112.50,-110.53
2406527545.00,-111.03,-116.56,-110.53,-115.00,-109.03
2406627712.00,-109.00,-113.53,-114.03,-114.03,-111.03
2406727879.00,-107.00,-112.53,-111.53,-114.50,-110.50
2406828046.00,-115.50,-111.03,-110.00,-108.53,-115.00
2406928213.00,-111.53,-112.53,-114.53,-116.03,-111.53
2407028380.00,-106.53,-113.53,-103.53,-110.53,-112.50
2407128547.00,-111.50,-108.56,-103.03,-111.53,-114.03
2407228714.00,-114.50,-111.06,-104.00,-110.53,-111.50
2407328881.00,-107.03,-110.03,-98.53,-110.50,-111.03
2407429048.00,-112.00,-113.03,-105.00,-110.00,-115.53
2407529215.00,-112.00,-115.56,-98.50,-105.50,-111.53
2407629382.00,-106.50,-109.56,-110.00,-112.53,-112.50
2407729549.00,-115.50,-114.56,-113.03,-110.03,-115.50
2407829716.00,-115.03,-115.06,-111.03,-111.50,-109.53
2407929883.00,-113.03,-116.56,-109.53,-114.00,-113.03
2408030050.00,-112.03,-114.06,-111.53,-113.00,-114.50
2408130217.00,-111.03,-113.03,-109.03,-115.00,-112.03
2408230383.00,-112.03,-110.03,-110.03,-112.03,-116.03
2408330550.00,-112.53,-103.03,-105.50,-115.00,-111.50
